"PC Name","Company", "Site", "Solution", "Product", "availableCSpace (G)","totalCSpace (G)", "availableDSpace (G)", "totalDSpace (G)" 
"2NDCELLDD3_F8B156C737A7","2nd Cell","St Louis","allinone","greent","269","450","N/A","N/A",
"8460P-PC_100BA9238C84","futuredial_jp","FDKK","allinone_asia","GreenT","202","300","209","300",
"AQL-1_6431503398AE","HOBI","Dallas","allinone","irt","192","232","N/A","N/A",
"AU-BC-BOH-D045_F4CE4613A853","Brightstar Australia","Australia_Sydney","allinone","irt","26","232","N/A","N/A",
"AU-BC-BOH-D048_D4C9EFDDDC5C","Brightstar Australia","Australia_Sydney","allinone","greent","37","298","N/A","N/A",
"AU-BC-BOH-D141_F4CE46106110","Brightstar Australia","Australia_Sydney","allinone","greent","19","232","N/A","N/A",
"AU-BC-FOH-D246_F4CE4610581D","Brightstar Australia","Australia_Sydney","allinone","greent","87","232","N/A","N/A",
"AU-CC-BOH-D070_F4CE461055F4","Brightstar Australia","Australia_Sydney","allinone","greent","9","232","N/A","N/A",
"AU-CC-FOH-D003_F4CE461060F4","Brightstar Australia","Australia_Sydney","allinone","greent","26","232","N/A","N/A",
"AU-L486_0024D7BD5D84","Brightstar Australia","Australia_Sydney","allinone","greent","36","238","N/A","N/A",
"BIOWORLD-HPLTP1_E4A471A5C684","FaceUP","Router","allinone_asia","GreenT","367","447","1","15",
"BTC-PSF13_ECB1D73D1B2D","Belmont Trading","Buffalo Grove","allinone","greent","105","223","N/A","N/A",
"BTC-PSF15_ECB1D73D1AED","Belmont Trading","Buffalo Grove","allinone","greent","86","223","N/A","N/A",
"BTC-PSF17_ECB1D73A5F49","Belmont Trading","Buffalo Grove","allinone","greent","106","223","N/A","N/A",
"BTC-PSF19_ECB1D73A5C75","Belmont Trading","Buffalo Grove","allinone","greent","100","223","N/A","N/A",
"BTC-PSF1_ECB1D7386835","Belmont Trading","Buffalo Grove","allinone","greent","111","223","N/A","N/A",
"BTC-PSF21_ECB1D73D1AAB","Belmont Trading","Buffalo Grove","allinone","greent","100","223","N/A","N/A",
"BTC-PSF22_ECB1D73D1B23","Belmont Trading","Buffalo Grove","allinone","greent","104","223","N/A","N/A",
"BTC-PSF24_ECB1D73A5EF5","Belmont Trading","Buffalo Grove","allinone","greent","26","223","N/A","N/A",
"BTC-PSF6_ECB1D73D1A6F","Belmont Trading","Buffalo Grove","allinone","greent","96","223","N/A","N/A",
"BTC-PSF8_ECB1D738693A","Belmont Trading","Buffalo Grove","allinone","greent","90","223","N/A","N/A",
"CENTEX-11_64006A97D230","Centex","San Diego","allinone","greent","170","453","N/A","N/A",
